Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
93,C Szyperski,Component Software: Beyond Object-Oriented Programming,10035,2002, books.google.com,,https://books.google.com/books?hl=en&lr=&id=U896iwmtiagC&oi=fnd&pg=PR15&dq=OOP&ots=FJXO7vptiE&sig=9yxie3sxoHUBE_vW7z1gdO7AKto,436
75,BJ Cox,Object oriented programming: an evolutionary approach,2347,1986, dl.acm.org,,https://dl.acm.org/doi/abs/10.5555/16111,60
27,M Lutz,Learning python: Powerful object-oriented programming,1373,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ePyeNz2Eoy8C&oi=fnd&pg=PP1&dq=OOP&ots=Mdw5cH0gyl&sig=Lgqyk4xkazEWU_hcmCUxdifLsss,114
38,"M Stefik, DG Bobrow",Object-oriented programming: Themes and variations,1323,1985, ojs.aaai.org, AI magazine,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/508,33
12,T Budd,Could not catch title,939,2008, Pearson Education India,,"Look manually at: https://scholar.google.com/scholar?start=10&q=OOP&hl=en&as_sdt=0,5",55
84,A Snyder,Encapsulation and inheritance in object-oriented programming languages,900,1986, dl.acm.org,oriented programming systems  languages and …,https://dl.acm.org/doi/abs/10.1145/28697.28702,23
5,P Wegner,Concepts and paradigms of object-oriented programming,818,1990, dl.acm.org, ACM Sigplan Oops Messenger,https://dl.acm.org/doi/abs/10.1145/382192.383004,23
28,"OL Madsen, B Møller-Pedersen, K Nygaard",Object-oriented programming in the BETA programming language,787,1993, pure.au.dk,,https://pure.au.dk/portal/en/publications/object-oriented-programming-in-the-beta-programming-language,25
19,G Agha,Concurrent object-oriented programming,570,1990, dl.acm.org, Communications of the ACM,https://dl.acm.org/doi/abs/10.1145/83880.84528,16
4,"A Gupta, S Chempath, MJ Sanborn, LA Clark…",Object-oriented programming paradigms for molecular modeling,478,2003, Taylor & Francis, Molecular …,https://www.tandfonline.com/doi/abs/10.1080/0892702031000065719,22
13,B Stroustrup,What is object-oriented programming?,406,1988, ieeexplore.ieee.org, IEEE software,https://ieeexplore.ieee.org/abstract/document/2020/,11
52,P America,Designing an object-oriented programming language with behavioural subtyping,389,1990, Springer, Workshop/School/Symposium of the REX Project …,https://link.springer.com/chapter/10.1007/BFb0019440,11
76,"OL Madsen, B Moller-Pedersen",Virtual classes: A powerful mechanism in object-oriented programming,366,1989, dl.acm.org,oriented programming …,https://dl.acm.org/doi/abs/10.1145/74877.74919,10
16,T Rentsch,Object oriented programming,344,1982, dl.acm.org, ACM Sigplan Notices,https://dl.acm.org/doi/pdf/10.1145/947955.947961,8
55,RD Neidinger,Introduction to automatic differentiation and MATLAB object-oriented programming,337,2010, SIAM, SIAM review,https://epubs.siam.org/doi/abs/10.1137/080743627,22
33,R Lafore,Could not catch title,294,2001, Galgotia publications,,"Look manually at: https://scholar.google.com/scholar?start=30&q=OOP&hl=en&as_sdt=0,5",12
