Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
49,WA Bardeen,Anomalous Ward identities in spinor field theories,1482,1969, APS, Physical Review,https://journals.aps.org/pr/abstract/10.1103/PhysRev.184.1848,26
38,"T Elrad, RE Filman, A Bader",Aspect-oriented programming: Introduction,1063,2001, dl.acm.org, Communications of the ACM,https://dl.acm.org/doi/pdf/10.1145/383845.383853,44
15,T Budd,Could not catch title,939,2008, Pearson Education India,,"Look manually at: https://scholar.google.com/scholar?start=10&q=POP+OOP&hl=en&as_sdt=0,5",55
17,P Wegner,Concepts and paradigms of object-oriented programming,818,1990, dl.acm.org, ACM Sigplan Oops Messenger,https://dl.acm.org/doi/abs/10.1145/382192.383004,23
97,"JM Bieman, BK Kang",Cohesion and reuse in an object-oriented system,723,1995, dl.acm.org, ACM SIGSOFT Software Engineering Notes,https://dl.acm.org/doi/abs/10.1145/223427.211856,24
25,"T Korson, JD McGregor",Understanding object-oriented: A unifying paradigm,492,1990, dl.acm.org, Communications of the ACM,https://dl.acm.org/doi/abs/10.1145/83880.84459,14
16,B Stroustrup,What is object-oriented programming?,406,1988, ieeexplore.ieee.org, IEEE software,https://ieeexplore.ieee.org/abstract/document/2020/,11
31,"O Pastor, J Gómez, E Insfrán, V Pelechano",The OO-Method approach for information systems modeling: from object-oriented conceptual modeling to automated programming,340,2001, Elsevier, Information Systems,https://www.sciencedirect.com/science/article/pii/S0306437901000357,14
30,"DP Pop, A Altar",Designing an MVC model for rapid web application development,273,2014, Elsevier, Procedia Engineering,https://www.sciencedirect.com/science/article/pii/S187770581400352X,25
68,"M Lísa, M Holčapek","Triacylglycerols profiling in plant oils important in food industry, dietetics and cosmetics using high-performance liquid chromatography–atmospheric pressure …",238,2008, Elsevier, Journal of Chromatography A,https://www.sciencedirect.com/science/article/pii/S0021967308008935,14
82,"G Costagliola, F Ferrucci, G Tortora…",Class point: an approach for the size estimation of object-oriented systems,210,2005, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/1392720/,10
26,GL Fenves,Object-oriented programming for engineering software development,208,1990, Springer, Engineering with computers,https://link.springer.com/article/10.1007/BF01200200,6
