Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
11,G Booch,Could not catch title,15329,2005, Pearson Education India,,"Look manually at: https://scholar.google.com/scholar?start=10&q=modeling+language&hl=en&as_sdt=0,5",766
83,"Y Bengio, R Ducharme…",A neural probabilistic language model,11823,2000, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper_files/paper/2000/hash/728f206c2a01bf572b5940d7d9a8fa4c-Abstract.html,473
12,J Rumbaugh,Could not catch title,9556,2005, Pearson Education India,,"Look manually at: https://scholar.google.com/scholar?start=10&q=modeling+language&hl=en&as_sdt=0,5",478
34,M Fowler,UML distilled: a brief guide to the standard object modeling language,7172,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=VTdtDwAAQBAJ&oi=fnd&pg=PR21&dq=modeling+language&ots=HIfTo2DP3d&sig=HrTeamZXXinYhu-o1c3pcZof00Q,1025
74,"JM Ponte, WB Croft",A language modeling approach to information retrieval,3997,2017, dl.acm.org, ACM SIGIR Forum,https://dl.acm.org/doi/pdf/10.1145/3130348.3130368,500
29,"S Diamond, S Boyd",CVXPY: A Python-embedded modeling language for convex optimization,2962,2016, jmlr.org, Journal of Machine Learning Research,https://www.jmlr.org/papers/v17/15-408.html,329
13,"S Friedenthal, A Moore, R Steiner",A practical guide to SysML: the systems modeling language,2774,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Ze60AwAAQBAJ&oi=fnd&pg=PP1&dq=modeling+language&ots=ow5ncVErIW&sig=cQFwBXUAELkAvAomDU5iVPsh3MY,252
15,"I Dunning, J Huchette, M Lubin",JuMP: A modeling language for mathematical optimization,1930,2017, SIAM, SIAM review,https://epubs.siam.org/doi/abs/10.1137/15M1020575,241
3,"S Ceri, P Fraternali, A Bongio",Web Modeling Language (WebML): a modeling language for designing Web sites,1589,2000, Elsevier, Computer Networks,https://www.sciencedirect.com/science/article/pii/S1389128600000402,64
23,"T Lodderstedt, D Basin, J Doser",SecureUML: A UML-based modeling language for model-driven security,1193,2002, Springer, … on the Unified Modeling Language,https://link.springer.com/chapter/10.1007/3-540-45800-X_33,52
6,"R Fourer, DM Gay, BW Kernighan",A modeling language for mathematical programming,1032,1990, pubsonline.informs.org, Management Science,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.36.5.519,29
46,"M Rosemann, WMP Van der Aalst",A configurable reference modelling language,808,2007, Elsevier, Information systems,https://www.sciencedirect.com/science/article/pii/S0306437905000487,45
63,M Bjorklund,YANG-a data modeling language for the network configuration protocol (NETCONF),772,0,editor.org,,https://www.rfc-editor.org/rfc/rfc6020,0
98,H Schwenk,Continuous space language models,684,2007, Elsevier, Computer Speech & Language,https://www.sciencedirect.com/science/article/pii/S0885230806000325,38
10,"N Medvidovic, DS Rosenblum, DF Redmiles…",Modeling software architectures in the unified modeling language,640,2002, dl.acm.org, ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/504087.504088,28
30,L Delligatti,SysML distilled: A brief guide to the systems modeling language,627,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=3bMJAgAAQBAJ&oi=fnd&pg=PR11&dq=modeling+language&ots=xT5isdOoqc&sig=0PYYmZcs_ax3Ci17xkIxa3rCu64,52
77,"ND Goodman, A Stuhlmüller",Knowledge and implicature: Modeling language understanding as social cognition,541,2013, Wiley Online Library, Topics in cognitive science,https://onlinelibrary.wiley.com/doi/abs/10.1111/tops.12007,45
66,"S Cranefield, M Purvis",UML as an ontology modelling language,527,1999, Citeseer,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=79cd5ea2bf8f9f918aea4b88cfd3b646b0e1c48f,20
4,"J De Bruijn, H Lausen, A Polleres, D Fensel",The web service modeling language wsml: An overview,507,2006, Springer, European semantic web …,https://link.springer.com/chapter/10.1007/11762256_43,27
39,"T Fischer, J Niere, L Torunski, A Zündorf",Story diagrams: A new graph rewrite language based on the unified modeling language and java,501,2000, Springer,20  1998. Selected Papers 6,https://link.springer.com/chapter/10.1007/978-3-540-46464-8_21,20
25,"P Van Hentenryck, L Michel, Y Deville",Numerica: a modeling language for global optimization,468,1997, books.google.com,,https://books.google.com/books?hl=en&lr=&id=CCK6CCHnaygC&oi=fnd&pg=PR9&dq=modeling+language&ots=gsioRJbRAT&sig=aI1STln_k_i0lCibROoBb6WGRGg,17
80,G Guizzardi,"On ontology, ontologies, conceptualizations, modeling languages, and (meta) models",460,2007, academia.edu, Frontiers in artificial intelligence and applications,https://www.academia.edu/download/30705476/A_Technique_for_the_Prediction_of_Deadline-Violations_in_Inter-Organizational_Business_Processes.pdf#page=29,26
