Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
55,"MA Nielsen, IL Chuang",Quantum computation and quantum information,57316,2010, books.google.com,,https://books.google.com/books?hl=en&lr=&id=-s4DEy7o-a0C&oi=fnd&pg=PR17&dq=quantum+and+classical+computer&ots=NJ4FgjvuYu&sig=PbVAhuuvJ6DNDZXKX3DWo3UzbXU,3821
63,D Deutsch,"Quantum theory, the Church–Turing principle and the universal quantum computer",7806,1985, royalsocietypublishing.org, Proceedings of the Royal Society of London …,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.1985.0070,195
37,"TD Ladd, F Jelezko, R Laflamme, Y Nakamura…",Quantum computers,4592,2010, nature.com, nature,https://www.nature.com/articles/nature08812,306
72,"CH Bennett, E Bernstein, G Brassard, U Vazirani",Strengths and weaknesses of quantum computing,2069,1997, SIAM, SIAM journal on Computing,https://epubs.siam.org/doi/abs/10.1137/S0097539796300933,74
8,A Steane,Quantum computing,1994,1998, iopscience.iop.org, Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/0034-4885/61/2/002/meta,74
7,"AY Kitaev, A Shen, MN Vyalyi",Classical and quantum computation,1845,2002, books.google.com,,https://books.google.com/books?hl=en&lr=&id=08vZYhafYEAC&oi=fnd&pg=PR7&dq=quantum+and+classical+computer&ots=kGO1-gZ6W5&sig=Np1RAOz-oOEXIcmjwTjDszMCiXY,80
88,"P Walther, KJ Resch, T Rudolph, E Schenck…",Experimental one-way quantum computing,1603,2005, nature.com, Nature,https://www.nature.com/articles/nature03347,80
87,"Y Cao, J Romero, JP Olson, M Degroote…",Quantum chemistry in the age of quantum computing,1549,2019, ACS Publications, Chemical …,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.8b00803,258
53,CP Williams,Explorations in quantum computing,1116,2010, books.google.com,,https://books.google.com/books?hl=en&lr=&id=QE8S--WjIFwC&oi=fnd&pg=PR8&dq=quantum+and+classical+computer&ots=BMFIWJ0uXO&sig=nwhOecVFSirfHRXcRTkvUBHUsZQ,74
64,"BP Lanyon, JD Whitfield, GG Gillett, ME Goggin…",Towards quantum chemistry on a quantum computer,936,2010, nature.com, Nature …,https://www.nature.com/articles/nchem.483,62
66,"JA Jones, M Mosca, RH Hansen",Implementation of a quantum search algorithm on a quantum computer,819,1998, nature.com, Nature,https://www.nature.com/articles/30687,30
9,"A Galindo, MA Martin-Delgado",Information and computation: Classical and quantum aspects,743,2002, APS, Reviews of Modern Physics,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.74.347,32
50,"E Rieffel, W Polak",An introduction to quantum computing for non-physicists,657,2000, dl.acm.org, ACM Computing Surveys (CSUR),https://dl.acm.org/doi/abs/10.1145/367701.367709,26
65,"NM Linke, D Maslov, M Roetteler…",Experimental comparison of two quantum computing architectures,650,2017, National Acad Sciences, Proceedings of the …,https://www.pnas.org/doi/abs/10.1073/pnas.1618020114,81
15,"IL Chuang, Y Yamamoto",Simple quantum computer,642,1995, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.52.3489,21
31,J Preskill,Quantum computing and the entanglement frontier,627,2012, arxiv.org, arXiv preprint arXiv:1203.5813,https://arxiv.org/abs/1203.5813,48
34,"EG Rieffel, WH Polak",Quantum computing: A gentle introduction,558,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=9Cs3AgAAQBAJ&oi=fnd&pg=PP13&dq=quantum+and+classical+computer&ots=3HAEwcSQaK&sig=CjcZAXkRCcStbuzibB1zCfCFwqM,40
33,C Zalka,Simulating quantum systems on a quantum computer,522,1998, royalsocietypublishing.org, Proceedings of the Royal Society of London …,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.1998.0162,19
10,"H Buhrman, R Cleve, A Wigderson",Quantum vs. classical communication and computation,514,1998, dl.acm.org, … symposium on Theory of computing,https://dl.acm.org/doi/pdf/10.1145/276698.276713,19
77,"N Klco, EF Dumitrescu, AJ McCaskey, TD Morris…",Quantum-classical computation of Schwinger model dynamics using quantum computers,470,2018, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.98.032331,67
57,"BW Reichardt, F Unger, U Vazirani",Classical command of quantum systems,451,2013, nature.com, Nature,https://www.nature.com/articles/nature12035,38
23,T Hey,Quantum computing: an introduction,425,1999, IET, Computing & Control Engineering Journal,https://digital-library.theiet.org/content/journals/10.1049/cce_19990303,16
89,"S Bravyi, G Smith, JA Smolin",Trading classical and quantum computational resources,389,2016, APS, Physical Review X,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.6.021043,43
68,"SS Gill, A Kumar, H Singh, M Singh…","Quantum computing: A taxonomy, systematic review and future directions",387,2022, Wiley Online Library, Software: Practice …,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.3039,129
73,"B Bauer, D Wecker, AJ Millis, MB Hastings, M Troyer",Hybrid quantum-classical approach to correlated materials,354,2016, APS, Physical Review X,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.6.031045,39
41,"J Li, X Yang, X Peng, CP Sun",Hybrid quantum-classical approach to quantum optimal control,312,2017, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.118.150503,39
100,"Y Zhou, EM Stoudenmire, X Waintal",What limits the simulation of quantum computers?,300,2020, APS, Physical Review X,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.10.041038,60
86,"D Bruß, G Leuchs",Lectures on quantum information,272,2007, osti.gov,,https://www.osti.gov/etdeweb/biblio/20892772,15
56,"N Gershenfeld, IL Chuang",Quantum computing with molecules,268,1998, JSTOR, Scientific American,https://www.jstor.org/stable/26057857,10
11,"D Dragoman, M Dragoman",Quantum-classical analogies,256,2004, Springer,,https://link.springer.com/book/10.1007/978-3-662-09647-5,12
49,S Lloyd,Quantum-mechanical computers,254,1995, JSTOR, Scientific American,https://www.jstor.org/stable/24981961,8
40,A Barenco,Quantum physics and computers,245,1996, Taylor & Francis, Contemporary physics,https://www.tandfonline.com/doi/abs/10.1080/00107519608217543,8
45,U Mahadev,Classical verification of quantum computations,244,2018, ieeexplore.ieee.org, … Annual Symposium on Foundations of Computer …,https://ieeexplore.ieee.org/abstract/document/8555111/,35
43,S Aaronson,The limits of quantum,240,2008, JSTOR, Scientific American,https://www.jstor.org/stable/26000518,14
76,"D Zhu, NM Linke, M Benedetti, KA Landsman…",Training of quantum circuits on a hybrid quantum computer,235,2019, science.org, Science …,https://www.science.org/doi/abs/10.1126/sciadv.aaw9918,39
36,D Aharonov,Quantum computation,234,1999, World Scientific, Annual Reviews of Computational Physics VI,https://www.worldscientific.com/doi/abs/10.1142/9789812815569_0007,9
51,C Bernhardt,Quantum computing for everyone,219,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=SROKDwAAQBAJ&oi=fnd&pg=PR7&dq=quantum+and+classical+computer&ots=7uVj-MZPDD&sig=GzOmj5hbwouH6PopEbFLXpc1tW4,36
35,"KL Brown, WJ Munro, VM Kendon",Using quantum computers for quantum simulation,217,2010, mdpi.com, Entropy,https://www.mdpi.com/1099-4300/12/11/2268,14
82,J Preskill,Quantum computing 40 years later,217,2023, taylorfrancis.com, Feynman Lectures on Computation,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003358817-7/quantum-computing-40-years-later-john-preskill,108
71,"BM Boghosian, W Taylor IV",Simulating quantum mechanics on a quantum computer,217,1998, Elsevier, Physica D: Nonlinear Phenomena,https://www.sciencedirect.com/science/article/pii/S0167278998000426,8
95,"XD Cai, C Weedbrook, ZE Su, MC Chen, M Gu…",Experimental quantum computing to solve systems of linear equations,211,2013, APS, Physical review …,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.110.230501,18
85,"P Selinger, B Valiron",A lambda calculus for quantum computation with classical control,208,2006, cambridge.org, Mathematical Structures in Computer Science,https://www.cambridge.org/core/journals/mathematical-structures-in-computer-science/article/lambda-calculus-for-quantum-computation-with-classical-control/53AB540D33E2E420DF2F28D0073B7F45,11
25,"V Vedral, MB Plenio",Basics of quantum computation,205,1998, Elsevier, Progress in quantum electronics,https://www.sciencedirect.com/science/article/pii/S0079672798000044,8
54,"F Bova, A Goldfarb, RG Melko",Commercial applications of quantum computing,201,2021, epjqt.epj.org, EPJ quantum technology,https://epjqt.epj.org/articles/epjqt/abs/2021/01/40507_2021_Article_91/40507_2021_Article_91.html,50
29,PW Shor,Quantum computing,199,1998, math.upenn.edu, Documenta Mathematica,https://www2.math.upenn.edu/~ted/210S14/References/Shor.MAN.pdf,7
52,KA Valiev,Quantum computers and quantum computations,188,2005, iopscience.iop.org,Uspekhi,https://iopscience.iop.org/article/10.1070/PU2005v048n01ABEH002024/meta,9
81,"A Berthiaume, G Brassard",Oracle quantum computing,176,1994, Taylor & Francis, Journal of modern optics,https://www.tandfonline.com/doi/abs/10.1080/09500349414552351,6
28,"F Tacchino, A Chiesa, S Carretta…",Quantum computers as universal quantum simulators: state‐of‐the‐art and perspectives,168,2020, Wiley Online Library, Advanced Quantum …,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.201900052,34
94,S Wiesner,Simulations of many-body quantum systems by a quantum computer,162,1996, arxiv.org,ph/9603028,https://arxiv.org/pdf/quant-ph/9603028,6
3,"TM Khan, A Robles-Kelly",Machine learning: Quantum vs classical,158,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9274431/,32
78,E Knill,Quantum computing,154,2010, nature.com, Nature,https://www.nature.com/articles/463441a,10
2,"S Aaronson, A Ambainis",Forrelation: A problem that optimally separates quantum from classical computing,151,2015, dl.acm.org, … ACM symposium on Theory of computing,https://dl.acm.org/doi/abs/10.1145/2746539.2746547,15
18,D Aharonov,Quantum to classical phase transition in noisy quantum computers,146,2000, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.62.062311,6
83,"H Lamm, S Lawrence",Simulation of nonequilibrium dynamics on a quantum computer,144,2018, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.121.170501,21
5,"S Aaronson, J Watrous",Closed timelike curves make quantum and classical computing equivalent,143,2009, royalsocietypublishing.org, Proceedings of the Royal …,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.2008.0350,9
