Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
15,"MA Nielsen, IL Chuang",Quantum computation and quantum information,57316,2010, books.google.com,,https://books.google.com/books?hl=en&lr=&id=-s4DEy7o-a0C&oi=fnd&pg=PR17&dq=quantum+computer&ots=NJ4Fgjuy0p&sig=6RDVQbDEHtbQzakamXDJ2qRphEI,3821
99,"D Loss, DP DiVincenzo",Quantum computation with quantum dots,9362,1998, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.57.120,347
19,J Preskill,Quantum computing in the NISQ era and beyond,8515,0,journal.org,,https://quantum-journal.org/papers/q-2018-08-06-79/,4
10,D Deutsch,"Quantum theory, the Church–Turing principle and the universal quantum computer",7806,1985, royalsocietypublishing.org, Proceedings of the Royal Society of London …,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.1985.0070,195
68,PW Shor,Scheme for reducing decoherence in quantum computer memory,5963,1995, APS, Physical review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.52.R2493,199
11,"R Raussendorf, HJ Briegel",A one-way quantum computer,5378,2001, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.86.5188,224
44,BE Kane,A silicon-based nuclear spin quantum computer,5276,1998, nature.com, nature,https://www.nature.com/articles/30156,195
2,"TD Ladd, F Jelezko, R Laflamme, Y Nakamura…",Quantum computers,4592,2010, nature.com, nature,https://www.nature.com/articles/nature08812,306
7,DP DiVincenzo,Quantum computation,2690,1995, science.org, Science,https://www.science.org/doi/abs/10.1126/science.270.5234.255,90
73,DR Simon,On the power of quantum computation,2273,1997, SIAM, SIAM journal on computing,https://epubs.siam.org/doi/abs/10.1137/S0097539796298637,81
55,"D Kielpinski, C Monroe, DJ Wineland",Architecture for a large-scale ion-trap quantum computer,2150,2002, nature.com, Nature,https://www.nature.com/articles/nature00784,93
76,"CH Bennett, E Bernstein, G Brassard, U Vazirani",Strengths and weaknesses of quantum computing,2069,1997, SIAM, SIAM journal on Computing,https://epubs.siam.org/doi/abs/10.1137/S0097539796300933,74
1,A Steane,Quantum computing,1994,1998, iopscience.iop.org, Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/0034-4885/61/2/002/meta,74
65,"AY Kitaev, A Shen, MN Vyalyi",Classical and quantum computation,1845,2002, books.google.com,,https://books.google.com/books?hl=en&lr=&id=08vZYhafYEAC&oi=fnd&pg=PR7&dq=quantum+computer&ots=kGO1-gYbS0&sig=Tdb_H5mhgygg-v_6rWnr_PV3qEg,80
27,"P Walther, KJ Resch, T Rudolph, E Schenck…",Experimental one-way quantum computing,1603,2005, nature.com, Nature,https://www.nature.com/articles/nature03347,80
16,"Y Cao, J Romero, JP Olson, M Degroote…",Quantum chemistry in the age of quantum computing,1549,2019, ACS Publications, Chemical …,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.8b00803,258
6,JL O'brien,Optical quantum computing,1480,2007, science.org, Science,https://www.science.org/doi/abs/10.1126/science.1142892,82
39,E Knill,Quantum computing with realistically noisy devices,1456,2005, nature.com, Nature,https://www.nature.com/articles/nature03350,73
