Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
81,"A Kandala, A Mezzacapo, K Temme, M Takita, M Brink…",Hardware-efficient variational quantum eigensolver for small molecules and quantum magnets,3139,2017, nature.com, nature,https://www.nature.com/articles/nature23879.,392
4,"J Tilly, H Chen, S Cao, D Picozzi, K Setia, Y Li, E Grant…",The variational quantum eigensolver: a review of methods and best practices,840,2022, Elsevier, Physics Reports,https://www.sciencedirect.com/science/article/pii/S0370157322003118,280
55,"JI Colless, VV Ramasesh, D Dahlen, MS Blok…",Computation of molecular spectra on a quantum processor with an error-resilient algorithm,589,2018, APS, Physical Review X,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.8.011021,84
2,"HL Tang, VO Shkolnikov, GS Barron, HR Grimsley…",qubit-adapt-vqe: An adaptive algorithm for constructing hardware-efficient ansätze on a quantum processor,449,2021, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.2.020310,112
62,"KM Nakanishi, K Mitarai, K Fujii",Subspace-search variational quantum eigensolver for excited states,337,2019, APS, Physical Review Research,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.1.033062,56
8,"D Wang, O Higgott, S Brierley",Accelerated variational quantum eigensolver,268,2019, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.122.140504,45
5,"RM Parrish, EG Hohenstein, PL McMahon…",Quantum computation of electronic transitions using a variational quantum eigensolver,268,2019, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.122.230401,45
1,"DA Fedorov, B Peng, N Govind, Y Alexeev",VQE method: a short survey and recent developments,192,2022, Springer, Materials Theory,https://link.springer.com/article/10.1186/S41313-021-00032-6,64
11,"M Cerezo, K Sharma, A Arrasmith, PJ Coles",Variational quantum state eigensolver,133,2022, nature.com, npj Quantum Information,https://www.nature.com/articles/s41534-022-00611-6,44
56,"D Amaro, C Modica, M Rosenkranz…",Filtering variational quantum algorithms for combinatorial optimization,129,2022, iopscience.iop.org, Quantum Science …,https://iopscience.iop.org/article/10.1088/2058-9565/ac3e54/meta,43
25,"IG Ryabinkin, SN Genin…",Constrained variational quantum eigensolver: Quantum computer search engine in the Fock space,125,2018, ACS Publications, Journal of chemical theory …,https://pubs.acs.org/doi/abs/10.1021/acs.jctc.8b00943,18
